order_date,weekday
4/11/15,Saturday
4/11/15,Saturday
8/23/15,Sunday
8/23/15,Sunday
8/24/15,Monday
8/24/15,Monday
8/24/15,Monday
8/25/15,Tuesday
8/25/15,Tuesday
8/26/15,Wednesday
8/26/15,Wednesday
4/11/15,Saturday
4/11/15,Saturday
4/11/15,Saturday
4/11/15,Saturday
4/18/15,Saturday
4/18/15,Saturday
4/18/15,Saturday
8/30/15,Sunday
8/31/15,Monday
8/31/15,Monday
9/1/15,Tuesday
9/2/15,Wednesday
9/2/15,Wednesday
4/25/15,Saturday
5/2/15,Saturday
5/2/15,Saturday
9/6/15,Sunday
9/6/15,Sunday
9/6/15,Sunday
9/6/15,Sunday
9/7/15,Monday
9/7/15,Monday
5/2/15,Saturday
5/2/15,Saturday
5/2/15,Saturday
5/9/15,Saturday
5/9/15,Saturday
5/9/15,Saturday
9/13/15,Sunday
9/14/15,Monday
9/14/15,Monday
9/15/15,Tuesday
9/15/15,Tuesday
9/16/15,Wednesday
5/9/15,Saturday
5/16/15,Saturday
5/23/15,Saturday
5/23/15,Saturday
5/23/15,Saturday
5/23/15,Saturday
5/23/15,Saturday
9/20/15,Sunday
9/20/15,Sunday
9/20/15,Sunday
9/20/15,Sunday
9/21/15,Monday
9/22/15,Tuesday
9/22/15,Tuesday
9/22/15,Tuesday
9/23/15,Wednesday
5/30/15,Saturday
5/30/15,Saturday
6/6/15,Saturday
6/6/15,Saturday
6/6/15,Saturday
6/6/15,Saturday
9/27/15,Sunday
9/27/15,Sunday
9/27/15,Sunday
9/28/15,Monday
9/28/15,Monday
9/29/15,Tuesday
9/29/15,Tuesday
6/13/15,Saturday
6/13/15,Saturday
6/20/15,Saturday
6/20/15,Saturday
7/4/15,Saturday
7/4/15,Saturday
7/11/15,Saturday
10/4/15,Sunday
10/4/15,Sunday
10/5/15,Monday
10/7/15,Wednesday
7/11/15,Saturday
7/18/15,Saturday
7/25/15,Saturday
10/11/15,Sunday
10/11/15,Sunday
10/12/15,Monday
10/13/15,Tuesday
10/13/15,Tuesday
10/14/15,Wednesday
10/14/15,Wednesday
7/25/15,Saturday
7/25/15,Saturday
7/25/15,Saturday
10/19/15,Monday
10/19/15,Monday
10/20/15,Tuesday
8/1/15,Saturday
8/1/15,Saturday
8/1/15,Saturday
10/25/15,Sunday
10/27/15,Tuesday
10/27/15,Tuesday
10/27/15,Tuesday
10/28/15,Wednesday
10/28/15,Wednesday
8/8/15,Saturday
8/8/15,Saturday
8/8/15,Saturday
8/8/15,Saturday
8/8/15,Saturday
8/15/15,Saturday
11/1/15,Sunday
11/1/15,Sunday
11/2/15,Monday
11/3/15,Tuesday
11/4/15,Wednesday
8/15/15,Saturday
8/22/15,Saturday
8/22/15,Saturday
8/29/15,Saturday
8/29/15,Saturday
11/9/15,Monday
11/10/15,Tuesday
9/5/15,Saturday
9/12/15,Saturday
11/15/15,Sunday
11/17/15,Tuesday
11/17/15,Tuesday
11/17/15,Tuesday
11/18/15,Wednesday
11/18/15,Wednesday
9/19/15,Saturday
9/19/15,Saturday
9/26/15,Saturday
11/22/15,Sunday
11/24/15,Tuesday
11/24/15,Tuesday
9/26/15,Saturday
9/26/15,Saturday
9/26/15,Saturday
10/3/15,Saturday
12/1/15,Tuesday
12/1/15,Tuesday
12/1/15,Tuesday
12/2/15,Wednesday
10/3/15,Saturday
10/10/15,Saturday
10/31/15,Saturday
12/7/15,Monday
12/8/15,Tuesday
12/8/15,Tuesday
12/9/15,Wednesday
10/31/15,Saturday
10/31/15,Saturday
10/31/15,Saturday
12/15/15,Tuesday
12/16/15,Wednesday
12/16/15,Wednesday
11/21/15,Saturday
11/21/15,Saturday
12/20/15,Sunday
12/20/15,Sunday
12/22/15,Tuesday
12/22/15,Tuesday
11/28/15,Saturday
12/5/15,Saturday
12/12/15,Saturday
12/19/15,Saturday
12/27/15,Sunday
12/27/15,Sunday
12/28/15,Monday
12/29/15,Tuesday
12/30/15,Wednesday
12/19/15,Saturday
12/26/15,Saturday
1/3/16,Sunday
1/5/16,Tuesday
1/6/16,Wednesday
12/26/15,Saturday
1/9/16,Saturday
1/10/16,Sunday
1/10/16,Sunday
